name,website,phone,address,rating,review_count
PrintEarly LLC - 24 Hour Printing in New York.,https://www.printearly.com,+16467277407,"Address: One Rockefeller Plaza 10th Floor, New York, NY 10020, United States",Not found,7
NYCPrintShop,http://www.nycprintshop.com,+12126833511,"134 E 28th St, New York, NY 10016",Not found,2
FedEx Office Print & Ship Center,https://local.fedex.com/en-us/ny/new-york/office-5696,+12123485478,"1337 Lexington Ave, New York, NY 10128",Not found,97
Madison Printing,http://www.csprintingnyc.com,+12129643232,"94 Madison St, New York, NY 10002",Not found,4
Print In New York,https://www.printinnewyork.com,+19177756265,41 Madison Avenue,Not found,2
Staples Print & Marketing Services,https://stores.staples.com/ny/new-york/769-broadway/print-and-marketing-services,+16466546660,"769 Broadway, New York, NY 10003",Not found,38
NY Copy Print & Ship Center,http://nycc.com,+12126735628,"13 E 7th St, New York, NY 10003",Not found,66
New York Banner Stands,https://www.newyorkbannerstands.com,+12123003892,"5 Pennsylvania Plaza, New York, NY 10001",Not found,109
Cloud Printing,http://www.printing2cloud.com,+12127750888,"500 7th Ave, New York, NY 10018",Not found,13
Midtown Copy Center,https://midtowncopy.com,+12128266030,"249 E 55th St, New York, NY 10022",Not found,55
Printability NY,https://printabilitynewyork.com,+12126757800,"131 W 24 St, New York, NY 10011",Not found,17
Big Apple Copy Center,http://www.bigapplecopy.com,+12129624282,"160 Broadway, New York, NY 10038",Not found,48
Bestype Printing NYC,https://www.bestypeimaging.com,+12129666886,"285 W Broadway, New York, NY 10013",Not found,258
Printing New York,http://www.printing-newyork.com,+13477728321,315 Bleecker St,Not found,44
"WEBWAY 360 | Print Shop, Graphic Design, Online Marketing",http://www.webway360.com,+13474842854,"349 5th Ave, New York, NY 10016",Not found,15
AlphaGraphics,http://www.alphagraphics.com/centers/new-york-new-york-us722.html,+12125640200,15 West 37th Street Street,Not found,71
"Digital World Solutions, Inc.",https://www.digitalworldsolution.com,+12129477733,224 W 35th St,Not found,70
Shiv Prints & Signs,http://www.shivprints.com,+13322172069,2220 Broadway,Not found,2
The UPS Store,https://locations.theupsstore.com/ny/new-york/209-w-29th-st,+12122908009,"209 W 29th St, New York, NY 10001",Not found,293
ABC Imaging - New York,http://www.abcimaging.com,+12124903801,"336 W 37th St, New York, NY 10018",Not found,34
Frontline Printing NYC,https://www.frontlineprintingnyc.com,+12122444989,325 W 38th St,Not found,18
ABG Print,https://www.abgprint.com,+12123981010,266 W 37th St,Not found,69
iDesign Digital Printing,http://www.idesigndigitalprinting.com,+12122266868,"118 Elizabeth St, New York, NY 10013",Not found,14
All Print Resources,https://allprintresources.com,+12123612400,205 E 42nd St,Not found,41
Print on Broadway,http://www.printonbroadway.com,+17185122000,"91 Emerson Pl, Brooklyn, NY 11205",Not found,88
